PMID,Title,Abstract
25073180,A decision-support framework for promoting independent living and ageing well.,"Artificial intelligence and decision support systems offer a plethora of health monitoring capabilities in ambient assisted living environment. Continuous assessment of health indicators for elderly people living on their own is of utmost importance, so as to prolong their independence and quality of life. Slow varying, long-term deteriorating health trends are not easily identifiable in seniors. Thus, early sign detection of a specific condition, as well as, any likely transition from a healthy state to a pathological one are key problems that the herein proposed framework aims at resolving. Statistical process control concepts offer a personalized approach toward identification of trends that are away from the atypical behavior or state of the seniors, while fuzzy cognitive maps knowledge representation and inference schema have proved to be efficient in terms of disease classification. Geriatric depression is used as a case study throughout the paper, so to prove the validity of the framework, which is planned to be pilot tested with a series of lone-living seniors in their own homes."
30419365,A framework for data-driven adaptive GUI generation based on DICOM.,"Computer applications for diagnostic medical imaging provide generally a wide range of tools to support physicians in their daily diagnosis activities. Unfortunately, some functionalities are specialized for specific diseases or imaging modalities, while other ones are useless for the images under investigation. Nevertheless, the corresponding Graphical User Interface (GUI) widgets are still present on the screen reducing the image visualization area. As a consequence, the physician may be affected by cognitive overload and visual stress causing a degradation of performances, mainly due to unuseful widgets. In clinical environments, a GUI must represent a sequence of steps for image investigation following a well-defined workflow. This paper proposes a software framework aimed at addressing the issues outlined before. Specifically, we designed a DICOM based mechanism of data-driven GUI generation, referring to the examined body part and imaging modality as well as to the medical image analysis task to perform. In this way, the self-configuring GUI is generated on-the-fly, so that just specific functionalities are active according to the current clinical scenario. Such a solution provides also a tight integration with the DICOM standard, which considers various aspects of the technology in medicine but does not address GUI specification issues. The proposed workflow is designed for diagnostic workstations with a local file system on an interchange media acting inside or outside the hospital ward. Accordingly, the DICOMDIR conceptual data model, defined by a hierarchical structure, is exploited and extended to include the GUI information thanks to a new Information Object Module (IOM), which reuses the DICOM information model. The proposed framework exploits the DICOM standard representing an enabling technology for an auto-consistent solution in medical diagnostic applications. In this paper we present a detailed description of the framework, its software design, and a proof-of-concept implementation as a suitable plug-in of the OsiriX imaging software."
35421974,An implementation framework and a feasibility evaluation of a clinical decision support system for diabetes management in secondary mental healthcare using CogStack.,"BACKGROUND: Improvements to the primary prevention of physical health illnesses like diabetes in the general population have not been mirrored to the same extent in people with serious mental illness (SMI). This work evaluates the technical feasibility of implementing an electronic clinical decision support system (eCDSS) for supporting the management of dysglycaemia and diabetes in patients with serious mental illness in a secondary mental healthcare setting. METHODS: A stepwise approach was taken as an overarching and guiding framework for this work. Participatory methods were employed to design and deploy a monitoring and alerting eCDSS. The eCDSS was evaluated for its technical feasibility. The initial part of the feasibility evaluation was conducted in an outpatient community mental health team. Thereafter, the evaluation of the eCDSS progressed to a more in-depth in silico validation. RESULTS: A digital health intervention that enables monitoring and alerting of at-risk patients based on an approved diabetes management guideline was developed. The eCDSS generated alerts according to expected standards and in line with clinical guideline recommendations. CONCLUSIONS: It is feasible to design and deploy a functional monitoring and alerting eCDSS in secondary mental healthcare. Further work is required in order to fully evaluate the integration of the eCDSS into routine clinical workflows. By describing and sharing the steps that were and will be taken from concept to clinical testing, useful insights could be provided to teams that are interested in building similar digital health interventions."
30184559,Applying the RE-AIM Framework for the Evaluation of a Clinical Decision Support Tool for Pediatric Head Trauma: A Mixed-Methods Study.,"BACKGROUND: The overuse of cranial computed tomography (CT) to diagnose potential traumatic brain injuries (TBIs) exposes children with minor blunt head trauma to unnecessary ionizing radiation. The Pediatric Emergency Care Applied Research Network and the Clinical Research on Emergency Services and Treatments Network implemented TBI prediction rules via electronic health record (EHR) clinical decision support (CDS) to decrease use of CTs in children with minor blunt head trauma. OBJECTIVE: This article aims to facilitate implementation and dissemination of a CDS alert into emergency departments around the country. METHODS: We evaluated the EHR CT CDS tool through a mixed-methods analysis of 38 audio-recorded interviews with health care stakeholders and quantitative data sources, using the Reach, Efficacy, Adoption, Implementation, and Maintenance framework. RESULTS: Reach -: The demographics of participants enrolled in the clinical trial were consistent with national estimates of TBI prevalence. Efficacy-There was a variable and modest reduction in CT rates for the 8,067 children with minor head trauma whose clinicians received CDS. Adoption -: The EHR CT CDS tool was well matched with the organizational mission, values, and priorities of the implementation sites. Implementation- The most important predisposing factors for successful implementation were the presence of an approachable clinical champion at each site and belief that the tool was a relevant, reusable knowledge asset. Enabling factors included an effective integration within the clinical workflow, organizational investment in user training, and ease of use. Maintenance -: Reinforcing factors for the EHR CT CDS tool included a close fit with the institutional culture, belief that it was useful for providers and families, and a good educational and informational tool. As such, the EHR CT CDS tool was maintained in clinical practice long after study completion. CONCLUSION: Data from this mixed-methods study complement findings from the efficacy trial and provide critical components for consideration prior to integration and subsequent dissemination of the EHR CT CDS tool. TRIAL REGISTRATION: NCT01453621, Registered September 27, 2011."
29295253,Arden Syntax Clinical Foundation Framework for Event Monitoring in Intensive Care Units: Report on a Pilot Study.,"The creation of clinical decision support systems has received a strong impulse over the last years, but their integration into a clinical routine has lagged behind, partly due to a lack of interoperability and trust by physicians. We report on the implementation of a clinical foundation framework in Arden Syntax, comprising knowledge units for (a) preprocessing raw clinical data, (b) the determination of single clinical concepts, and (c) more complex medical knowledge, which can be modeled through the composition and configuration of knowledge units in this framework. Thus, it can be tailored to clinical institutions or patients' caregivers. In the present version, we integrated knowledge units for several infection-related clinical concepts into the framework and developed a clinical event monitoring system over the framework that employs three different scenarios for monitoring clinical signs of bloodstream infection. The clinical event monitoring system was tested using data from intensive care units at Vienna General Hospital, Austria."
35033029,Assessing the implementation of a clinical decision support tool in primary care for diabetes prevention: a qualitative interview study using the Consolidated Framework for Implementation Science.,"BACKGROUND: In this paper we describe the use of the Consolidated Framework for Implementation Research (CFIR) to study implementation of a web-based, point-of-care, EHR-linked clinical decision support (CDS) tool designed to identify and provide care recommendations for adults with prediabetes (Pre-D CDS). METHODS: As part of a large NIH-funded clinic-randomized trial, we identified a convenience sample of interview participants from 22 primary care clinics in Minnesota, North Dakota, and Wisconsin that were randomly allocated to receive or not receive a web-based EHR-integrated prediabetes CDS intervention. Participants included 11 clinicians, 6 rooming staff, and 7 nurse or clinic managers recruited by study staff to participate in telephone interviews conducted by an expert in qualitative methods. Interviews were recorded and transcribed, and data analysis was conducted using a constructivist version of grounded theory. RESULTS: Implementing a prediabetes CDS tool into primary care clinics was useful and well received. The intervention was integrated with clinic workflows, supported primary care clinicians in clearly communicating prediabetes risk and management options with patients, and in identifying actionable care opportunities. The main barriers to CDS use were time and competing priorities. Finally, while the implementation process worked well, opportunities remain in engaging the care team more broadly in CDS use. CONCLUSIONS: The use of CDS tools for engaging patients and providers in care improvement opportunities for prediabetes is a promising and potentially effective strategy in primary care settings. A workflow that incorporates the whole care team in the use of such tools may optimize the implementation of CDS tools like these in primary care settings. Trial registration Name of the registry: Clinicaltrial.gov. TRIAL REGISTRATION NUMBER: NCT02759055. Date of registration: 05/03/2016. URL of trial registry record: https://clinicaltrials.gov/ct2/show/NCT02759055 Prospectively registered."
36027798,Barriers and facilitators to implementing a nursing clinical decision support system in a tertiary hospital setting: A qualitative study using the FITT framework.,"OBJECTIVE: Clinical decision support systems (CDSSs) have been increasingly introduced to health care settings; however, their adoption is far from ideal. Guided by the FITT framework, this study aims to explore barriers and facilitators to the implementation of a CDSS from the perspective of nurses. METHODS: A qualitative study with 200 h of participatory observation and 21 semi structured interviews was conducted from February to August 2021 in four medical-surgical wards in a 2000-bed tertiary hospital in Shanghai, China. The field notes were typed and the audio-recorded interviews were transcribed to texts verbatim and were coded with a four-step approach. We used the FITT framework to interpret our findings based on the technology, individual and task attributes and the fit between them. RESULTS: A total of twelve categories were identified, which were integrated into two themes: barriers and facilitators to system implementation. All categories but one can be mapped to the three attributes of the FITT framework: technology, individual and task. We assumed that management has a vital role to play in the following areas: addressing user resistance, improving system usability, setting standards on practice and, finally, building connectivity between nurses and the technical staff to improve the fit between the technology, individual and task attribute and thus promote system implementation. CONCLUSION: Barriers and facilitators to CDSS implementation include system-related, user-related and organizational factors which can largely be fit into the FITT framework. There is potential to extend the FITT framework to represent management intervention on inter-disciplinary collaboration. Future empirical studies on facilitating strategies from the management to improve user experience and willingness of CDSS adoption are needed."
26958259,Challenges and Solutions in Optimizing Execution Performance of a Clinical Decision Support-Based Quality Measurement (CDS-QM) Framework.,"Given the close relationship between clinical decision support (CDS) and quality measurement (QM), it has been proposed that a standards-based CDS Web service could be leveraged to enable QM. Benefits of such a CDS-QM framework include semantic consistency and implementation efficiency. However, earlier research has identified execution performance as a critical barrier when CDS-QM is applied to large populations. Here, we describe challenges encountered and solutions devised to optimize CDS-QM execution performance. Through these optimizations, the CDS-QM execution time was optimized approximately three orders of magnitude, such that approximately 370,000 patient records can now be evaluated for 22 quality measure groups in less than 5 hours (approximately 2 milliseconds per measure group per patient). Several key optimization methods were identified, with the most impact achieved through population-based retrieval of relevant data, multi-step data staging, and parallel processing. These optimizations have enabled CDS-QM to be operationally deployed at an enterprise level."
29025114,"Comprehensive process model of clinical information interaction in primary care: results of a ""best-fit"" framework synthesis.","OBJECTIVE: To describe a new, comprehensive process model of clinical information interaction in primary care (Clinical Information Interaction Model, or CIIM) based on a systematic synthesis of published research. MATERIALS AND METHODS: We used the ""best fit"" framework synthesis approach. Searches were performed in PubMed, Embase, the Cumulative Index to Nursing and Allied Health Literature (CINAHL), PsycINFO, Library and Information Science Abstracts, Library, Information Science and Technology Abstracts, and Engineering Village. Two authors reviewed articles according to inclusion and exclusion criteria. Data abstraction and content analysis of 443 published papers were used to create a model in which every element was supported by empirical research. RESULTS: The CIIM documents how primary care clinicians interact with information as they make point-of-care clinical decisions. The model highlights 3 major process components: (1) context, (2) activity (usual and contingent), and (3) influence. Usual activities include information processing, source-user interaction, information evaluation, selection of information, information use, clinical reasoning, and clinical decisions. Clinician characteristics, patient behaviors, and other professionals influence the process. DISCUSSION: The CIIM depicts the complete process of information interaction, enabling a grasp of relationships previously difficult to discern. The CIIM suggests potentially helpful functionality for clinical decision support systems (CDSSs) to support primary care, including a greater focus on information processing and use. The CIIM also documents the role of influence in clinical information interaction; influencers may affect the success of CDSS implementations. CONCLUSION: The CIIM offers a new framework for achieving CDSS workflow integration and new directions for CDSS design that can support the work of diverse primary care clinicians."
28648871,Creation of an Open Framework for Point-of-Care Computer-Assisted Reporting and Decision Support Tools for Radiologists.,"Decreasing unnecessary variation in radiology reporting and producing guideline-concordant reports is fundamental to radiology's success in value-based payment models and good for patient care. In this article, we present an open authoring system for point-of-care clinical decision support tools integrated into the radiologist reporting environment referred to as the computer-assisted reporting and decision support (CAR/DS) framework. The CAR/DS authoring system, described herein, includes: (1) a definition format for representing radiology clinical guidelines as structured, machine-readable Extensible Markup Language documents and (2) a user-friendly reference implementation to test the fidelity of the created definition files with the clinical guideline. The proposed definition format and reference implementation will enable content creators to develop CAR/DS tools that voice recognition software (VRS) vendors can use to extend the commercial tools currently in use. In making the definition format and reference implementation software freely available, we hope to empower individual radiologists, expert groups such as the ACR, and VRS vendors to develop a robust ecosystem of CAR/DS tools that can further improve the quality and efficiency of the patient care that our field provides. We hope that this initial effort can serve as the basis for a community-owned open standard for guideline definition that the imaging informatics and VRS vendor communities will embrace and strengthen. To this end, the ACR Assist initiative is intended to make the College's clinical content, including the Incidental Findings Committee White Papers, available for decision support tool creation based upon the herein described CAR/DS framework."
